Name,Purpose,Cost Per Item (USD),Quantity,Total (USD),Link,Distributor
"10mm led Package","The main output of the project, made to light up at night and turn off at day automatically",8.99,1,8.99,"https://www.amazon.com/ProCircFix-Brightness-Diffused-Arduino-Circuits/dp/B0FKBJ5VSR","Amazon"
"20cm Female to Female Jumper Wires","To connect each modules with each oher",3.99,1,3.99,"https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTJQGS6","Amazon"
"Light Sensor Module","To detect the presence of daylight",6.99,1,6.99,"https://www.amazon.com/DIYables-Digital-Arduino-ESP8266-Raspberry/dp/B0BXKJPV67","Amazon"
"1 Channel Relay Module","To process the light sensors signal and turning the lights on",6.99,1,6.99,"https://www.amazon.com/AEDIKO-Channel-Optocoupler-Isolation-Support/dp/B095YD3732/ref=sr_1_1?crid=2HYDVAHWJ4V9A&dib=eyJ2IjoiMSJ9.47hxJqYJ_AJGQnsxdjq9POdwSKpgzCnbA4ZjRVTYZCRuf0qfKjy4eJDRSQ8J0GLesBMpW_qWDpxbJ37blhByQJTWoYDa27VzzXui7XaaFjJRamDXUWrwpVRfCLWpEgx2RNFtcZ8YWWM_FmInIl1VIzX_ShQBJa7l01IYrhbS1VLtIJ9bLwEzhz-lNI_gS77ieGJP4hc2_hgsCXrhE5Z0QKsnd466Ha7LyRwEeea-47Y.cqLId8EaMZC32Tvaya1dj7lPd8_uLIW_Z0CYZrm6dnU&dib_tag=se&keywords=1%2Bchannel%2Brelay%2Bmodule%2B5v&qid=1773249533&sprefix=1%2Bchannel%2Brelay%2Caps%2C349&sr=8-1&th=1","Amazon"
